block_number,tx_hash,market,liquidator,borrower,repay_amount_raw,seize_tokens_raw
50192167,0x81b33db28eb4c6d34bc6b53c6604078821b0f755ef4233951a3abcf4e3230355,0x628ff693426583D9a7FB391E54366292F509D457,0xDA5953Da8477E8b3A122540d460986c4F769BD80,0xFE6e5A14C0f8054040725EF0a6730F5DfE57AD42,2263629115824597217,22367342480485
50192597,0x62a6f8244c1a0539041016762e0bbdf7baf8d24545c04e8b69967148cb4ba477,0x628ff693426583D9a7FB391E54366292F509D457,0x2a6EFb4f50BDb2be9b4FbFDF7CaDFdA3fBe0b688,0x3d9c2A22e772337fE0a94332a457939A7aE9a6C9,63506576465278,683236261
50218509,0x7ca8bae3ad941c2ff0a42a3b3a49b2d764183c07aaf81da5555f07a7127f93cd,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xa7B56c8c4751661F08421F674693C6E020777ad5,0xAfAd92a267e871a90A3bB0BB0E46dCbA65f34357,23368,105188457
50221087,0xc57709bb5d7a537c1d936cd898ad223499b96db8cbfbf8bdf042731cf79db456,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xa7B56c8c4751661F08421F674693C6E020777ad5,0xB006D4A23BEa63f770CA74674AcF892d3e1fB881,36052,352687686
50221451,0x52ad80b19a089f1c8ef665bd7a631adc3017e7dfe2c7c70ca611b06bb3c09905,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xfA826Ff8ADa02e5ddefCc72A0360Dc5c94CAEF4C,62450071084619,330987
50221458,0xdfb433952f398014459e2238db89e044592b454bfc8222783d446918da833662,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x1e36322292725F408E2A5b9a4610A8CE48Dd45AA,76700319068940,833876860
50221503,0x8a6bdc843d2af50ecb587db6f9c8b1208de1e22ec9151fa9f9329c9adbbddd19,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x2565E923de206F04A49bD93d3C75b85F0d354BE3,457936,4529687475
50221795,0x4e7c5669ce58bdaa7adb0ad166596ecaf1fa8de70a957878bf79bc158d4fabc6,0xb682c840B5F4FC58B20769E691A6fa1305A501a2,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x4C2de0c63b7e6d530df7E6221201E29858cAe7de,101252,562056477
50221806,0xcaeb5b67cdad66daa95dcfa7b5e9cb206918c2cf26659d719f65186713770ce3,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x80F53C5E00F0176923e80e47036144dfb013e63B,104311,243529
50221810,0xde5b154c0aa1a7ef5d42532f7ef60d57470c74db0bb05c8235baf40de2eeb31e,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x8e057705925ABbD5991ad073f0903A4B5d3794C9,59377238732100,314701
50221925,0x01d688a487e3fe986e8cdbb8636c8972f45f734fb47bc5adf70014f178dc485e,0x73902f619CEB9B31FD8EFecf435CbDf89E369Ba6,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xE4e0D6e243e1683878BfFb91eC2a1F51cc2E2f73,312660801169496384,347007
50222031,0x3eb119f77b0f0823c6f0a9ecf0a8a2a016e8ac11e923447ebec94f66a49dc414,0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x87F2A62e68f69Ab61f0e4CE4b4F85bc40f90cE76,42402772897956,255623
50222035,0xdcbb9a20937c1b23e1b70624cdb39b3e33d850b4b700a231facbda202d3051f4,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x3c8A052859C729c0778DA397Cf0554928Cc2046B,105492,246005
50222126,0x3833322d6d465f030db7ec700d2a1673b563cc188ac19c040d31be0e106ee39f,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xe6e4901de4676D7F10de6625f563495009DeA373,58985546190735,636125551
50222143,0x8dda226eca83da83498110cf7841c33417877bff463a47021f1d5a9db1e51ff1,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x39239C74917Eee9a120b7D67848149964d4D8498,113785,265344
50222712,0xab908fc66d27d1c6c079224efe1075b6e9d1f5a523cb91866214d9d31054a3e8,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x7550b2FA6313F6c713b5693352c0860C0661c117,105290,244936
50224589,0x16069b52641ff32af14c6025fe8dd9e8e9001b65f078985c06a0d95644ef0da4,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x04599f69Cbb1cD8f3798519562a39EDd5975442a,117278,556490522
50225621,0x8d10a1a33a79a4c542f1a3a836e9518d561f893103ef1b127f440901d9b7e26f,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xa8Aa12F3710a095882248955a778f59de42eC581,153282,353268
50225624,0xf0866df3a53e59b69e4dc7684d8b40c1de7aa4ef7f8c61b44312aeafa4008d9b,0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x07A7c0116Df02A27EaDF315EB1457F1d8719d7EE,41503571280854,250248
50225869,0x730b96a2d170d3bf0ff0b4a536b60ea7cb0c0272b55e32b8b11681882d9e7ddc,0x628ff693426583D9a7FB391E54366292F509D457,0xB798135Bda49494d0DC783e7Db057Da590b7F94F,0x6A75f63DA7C2BC77871E0558511725A5F30a6D6a,903640952890317,4789316
50226982,0x1ba3a02e910f1964d2350162b5b9b887fb0a274c0ff0f7a232856762c3d42394,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x2ad6EdEa3EcD174Be69E47BDC37ffFE5AdAc6807,126628,243368
50227017,0x9ff65947b2ed63758f00165c0d8165770a58e64a04799acbc37d5f868e7535ac,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xAbBdBE2f5630b3274f996d338241D50A5446e527,93226405590842,415918
50227059,0x83d8e6c22242dd8915e229c138199073b0883ca1485705daa2e833bbf18b7b50,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x3e2178CF851A0e5cbF84c0ff53f820ad7EAD703b,271705,522261
